No,店舗名,エリア,登録完了,都道府県,住所,電話番号,営業時間,定休日,Instagram,備考,料金期
16,大阪枚方店,関西,1,大阪府,大阪府枚方市香里ヶ丘6-1-49 C&A佐々木鍼灸整骨院店内,072-852-0898,月〜金 9:00〜11:30 / 16:00〜20:00、土曜日 9:00〜12:00,日祝,@reifix_osaka.hirakata,完全予約制,0期
17,大阪八尾店,関西,1,大阪府,大阪府八尾市植松町3-3-32 キャラメルママ内,070-9125-3556,10:00〜22:00,なし,@reifix_osaka.yao,完全予約制,0期
18,奈良大和高田店,関西,1,奈良県,奈良県大和高田市田井42-8,070-4729-7119,10:00〜20:00,不定休,"　"," 要連絡",0.5期
19,岡山倉敷店,中国,1,岡山県,岡山県倉敷市東富井970-87 一海整体院店内,080-4552-8627,9:00〜21:00,"　",@reifix_okayama_kurashiki,"　",0期
20,香川高松店,四国,1,香川県,香川県高松市木太町877-3 ハーリー治療院店内,087-865-7681,10:00〜19:00,日祝,@reifix_kagawa.takamatsu,"　",0期
21,愛媛松山店,四国,1,愛媛県,愛媛県松山市和泉北1丁目14-17 （株）WIXT,089-948-8205,平日9:00〜18:00 / 土曜日9:00〜17:30,月曜・日祝日,@reifix_ehime.matsuyama,"　",0期
22,福岡黒崎店,九州・沖縄,1,福岡県,福岡県北九州市八幡西区筒井町8-14,090-1511-8500,9:00〜19:00,なし,@reifix_fukuoka.kitakyushu,"　",0期
23,福岡京築店,九州・沖縄,1,福岡県,福岡県京都郡苅田町与原2088-1 HELDOXフィットネス,080-8389-8932,10:00〜22:00,なし,@reifix_fukuoka.keichiku,完全予約制,0.5期
24,長崎平戸店,九州・沖縄,1,長崎県,長崎県平戸市生月町山田免1074-1 グループホームいなほ（介護施設内）,090-5489-6901,10:00〜17:00,土日祝、年末年始,"　"," 完全予約制",0.5期
25,沖縄沖縄店,九州・沖縄,1,沖縄県,沖縄県沖縄市泡瀬3-48-11,080-2722-2814,9:00〜17:00,土日,@reifix_okinawa.okinawa,"　",0期
28,福岡中央店,九州・沖縄,1,福岡県,,,,,,,0.5期
29,鹿児島鹿児島市店,九州・沖縄,1,鹿児島県,,,,,,,0.5期
31,沖縄那覇店,九州・沖縄,1,沖縄県,,,,,,,0.5期
26,韓国昌原店,韓国,1,韓国,長原市S山区長原737 Sapa Dongsungアパート115 2402,010-9870-2615,10:00〜17:00,土日祝,@reifix_korea.changwon,韓国語住所：경상남도 창원시 성산구 창이대로 737사파동성아파트 115동2402호,0期
